Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Corr_Dis1	Corr_Dis2	Distance	pvalue	adj_pvalue	in_epidem	pairs	icd_pairs	interaction_type	in_phi	in_literature
Chronic obstructive pulmonary disease	Keratoconus 2	496	371	diseases of the respiratory system	diseases of the nervous system and sense organs	Chronic obstructive pulmonary disease	Keratoconus	0.385198835066048	1.92090631507038e-278	5.46460138314941e-277	FALSE	Chronic obstructive pulmonary disease _ Keratoconus	371 _ 496	dm	FALSE	FALSE
Schizophrenia	Parkinson's disease 1	295	332	mental disorders	diseases of the nervous system and sense organs	Schizophrenia	Parkinson's disease	0.381635366769029	4.48661542882347e-157	7.64400122437724e-156	TRUE	Parkinson's disease _ Schizophrenia	295 _ 332	dm	TRUE	TRUE
Huntington's disease	Autism 1	333	299	diseases of the nervous system and sense organs	mental disorders	Huntington's disease	Autism	0.379292728780824	5.81463320551751e-101	6.22823059352736e-100	TRUE	Autism _ Huntington's disease	299 _ 333	dm	TRUE	TRUE
Adenomatous polyps	Colorectal cancer 2	211	153	neoplasms	neoplasms	Adenomatous polyps	Colorectal cancer	0.376098908677474	3.72758956476378e-56	2.28781506022722e-55	TRUE	Adenomatous polyps _ Colorectal cancer	153 _ 211	dm	TRUE	TRUE
Glioblastoma	Familial dysautonomia	191	742	neoplasms	congenital anomalies	Glioblastoma	Familial dysautonomia	0.365985343416597	2.56258351972579e-286	7.40983657182683e-285	TRUE	Familial dysautonomia _ Glioblastoma	191 _ 742	dd	TRUE	TRUE
Rheumatoid arthritis	Chronic obstructive pulmonary disease 2	714	496	diseases of the musculoskeletal system and connective tissue	diseases of the respiratory system	Rheumatoid arthritis	Chronic obstructive pulmonary disease	0.364481486397662	2.50798814485546e-296	7.3034037750188e-295	TRUE	Chronic obstructive pulmonary disease _ Rheumatoid arthritis	496 _ 714	dm	TRUE	TRUE
Adenomatous polyps	Post-traumatic stress disorder 2	211	309	neoplasms	mental disorders	Adenomatous polyps	Post-traumatic stress disorder	0.361951053812778	6.57146959089727e-27	2.52565873387434e-26	TRUE	Adenomatous polyps _ Post-traumatic stress disorder	211 _ 309	dm	TRUE	TRUE
Smoker	Multiple sclerosis	305	340	mental disorders	diseases of the nervous system and sense organs	Smoker	Multiple sclerosis	0.360987971222221	2.65929467868024e-29	1.08109544065951e-28	FALSE	Multiple sclerosis _ Smoker	305 _ 340	dd	FALSE	TRUE
Cardiomyopathy	Chronic obstructive pulmonary disease 2	425	496	diseases of the circulatory system	diseases of the respiratory system	Cardiomyopathy	Chronic obstructive pulmonary disease	0.356505306549362	2.12193169770327e-284	6.09276332221652e-283	TRUE	Cardiomyopathy _ Chronic obstructive pulmonary disease	425 _ 496	dm	TRUE	TRUE
Myotonic dystrophy	Asthma 5	359	493	diseases of the nervous system and sense organs	diseases of the respiratory system	Myotonic dystrophy	Asthma	0.355637056193257	4.69911343729513e-87	4.25302566646594e-86	TRUE	Asthma _ Myotonic dystrophy	359 _ 493	dm	TRUE	TRUE
Adenomatous polyps	Bipolar disorder 2	211	296	neoplasms	mental disorders	Adenomatous polyps	Bipolar disorder	0.349723063762145	1.25016880583917e-24	4.57503842849879e-24	TRUE	Adenomatous polyps _ Bipolar disorder	211 _ 296	dm	TRUE	TRUE
Parkinson's disease	Asthma 5	332	493	diseases of the nervous system and sense organs	diseases of the respiratory system	Parkinson's disease	Asthma	0.345647497387119	1.40590771885561e-181	2.7887232336334e-180	FALSE	Asthma _ Parkinson's disease	332 _ 493	dm	FALSE	TRUE
Chronic obstructive pulmonary disease	Crohn's disease 1	496	555	diseases of the respiratory system	diseases of the digestive system	Chronic obstructive pulmonary disease	Crohn's disease	0.344488618243043	0	0	TRUE	Chronic obstructive pulmonary disease _ Crohn's disease	496 _ 555	dm	TRUE	TRUE
Rheumatoid arthritis	Huntington's disease 2	714	333	diseases of the musculoskeletal system and connective tissue	diseases of the nervous system and sense organs	Rheumatoid arthritis	Huntington's disease	0.335697039850771	1.19976415059023e-88	1.11118006067447e-87	TRUE	Huntington's disease _ Rheumatoid arthritis	333 _ 714	dm	TRUE	TRUE
Facioscapulohumeral muscular dystrophy	Adenomatous polyps 2	359	211	diseases of the nervous system and sense organs	neoplasms	Facioscapulohumeral muscular dystrophy	Adenomatous polyps	0.334098214362699	4.36587699419306e-100	4.64411682335666e-99	TRUE	Adenomatous polyps _ Facioscapulohumeral muscular dystrophy	211 _ 359	dm	TRUE	TRUE
Glioblastoma	Amyotrophic lateral sclerosis 1	191	335	neoplasms	diseases of the nervous system and sense organs	Glioblastoma	Amyotrophic lateral sclerosis	0.331161796079115	3.45681318455156e-224	8.41522229393401e-223	TRUE	Amyotrophic lateral sclerosis _ Glioblastoma	191 _ 335	dm	TRUE	TRUE
Breast cancer	Lymphocytic colitis 3	174	558	neoplasms	diseases of the digestive system	Breast cancer	Lymphocytic colitis	0.325768792786734	3.70760290651483e-209	8.48889453577131e-208	FALSE	Breast cancer _ Lymphocytic colitis	174 _ 558	dm	FALSE	FALSE
Amyotrophic lateral sclerosis	Crohn's disease 1	335	555	diseases of the nervous system and sense organs	diseases of the digestive system	Amyotrophic lateral sclerosis	Crohn's disease	0.324831287540576	1.79608772043215e-244	4.62849551051951e-243	FALSE	Amyotrophic lateral sclerosis _ Crohn's disease	335 _ 555	dm	FALSE	FALSE
Alagille syndrome	Asthma 5	759	493	congenital anomalies	diseases of the respiratory system	Alagille syndrome	Asthma	0.323237740238635	2.04856125114956e-71	1.53960814470167e-70	FALSE	Alagille syndrome _ Asthma	493 _ 759	dm	TRUE	TRUE
Alagille syndrome	Liver cancer 2	759	155	congenital anomalies	neoplasms	Alagille syndrome	Liver cancer	0.322524427819458	8.15814964981786e-163	1.45429938330617e-161	TRUE	Alagille syndrome _ Liver cancer	155 _ 759	dm	TRUE	TRUE
Myotonic dystrophy	Smoker 1	359	305	diseases of the nervous system and sense organs	mental disorders	Myotonic dystrophy	Smoker	0.318052447923953	1.0257760290809e-53	6.11297006590157e-53	TRUE	Myotonic dystrophy _ Smoker	305 _ 359	dm	TRUE	TRUE
