Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Corr_Dis1	Corr_Dis2	Distance	pvalue	adj_pvalue	in_epidem	pairs	icd_pairs	interaction_type	in_phi	in_literature
Glioblastoma	Systemic lupus erythematosus 2	191	710	neoplasms	diseases of the musculoskeletal system and connective tissue	Glioblastoma	Systemic lupus erythematosus	0.133803171156484	4.51112760911542e-36	2.06803386263802e-35	FALSE	Glioblastoma _ Systemic lupus erythematosus	191 _ 710	dm	FALSE	FALSE
Myotonic dystrophy	Lung cancer 1	359	162	diseases of the nervous system and sense organs	neoplasms	Myotonic dystrophy	Lung cancer	0.133364344955755	6.43222936691698e-32	2.74539852188785e-31	TRUE	Lung cancer _ Myotonic dystrophy	162 _ 359	dm	TRUE	TRUE
Adenomatous polyps	Kaposi's sarcoma 2	211	176	neoplasms	neoplasms	Adenomatous polyps	Kaposi's sarcoma	0.133046263826103	8.06028785747855e-19	2.53865062205116e-18	TRUE	Adenomatous polyps _ Kaposi's sarcoma	176 _ 211	dm	TRUE	TRUE
Systemic lupus erythematosus	Papillary thyroid cancer 1	710	193	diseases of the musculoskeletal system and connective tissue	neoplasms	Systemic lupus erythematosus	Papillary thyroid cancer	0.132491405079346	1.20324252405383e-11	2.95308655335625e-11	FALSE	Papillary thyroid cancer _ Systemic lupus erythematosus	193 _ 710	dm	FALSE	FALSE
Cardiomyopathy	Human immunodeficiency virus infection 1	425	42	diseases of the circulatory system	infectious and parasitic diseases	Cardiomyopathy	Human immunodeficiency virus infection	0.132024922126553	0.00447565709323964	0.00678370174412771	FALSE	Cardiomyopathy _ Human immunodeficiency virus infection	42 _ 425	dm	TRUE	TRUE
Ulcer	Liver cancer 2	569	155	diseases of the digestive system	neoplasms	Ulcer	Liver cancer	0.131414308298604	3.98908399108144e-37	1.86621863281964e-36	TRUE	Liver cancer _ Ulcer	155 _ 569	dm	TRUE	TRUE
Ulcerative colitis	Bipolar disorder 3	556	296	diseases of the digestive system	mental disorders	Ulcerative colitis	Bipolar disorder	0.130664722018865	2.26859523018628e-28	9.05233431986867e-28	TRUE	Bipolar disorder _ Ulcerative colitis	296 _ 556	dm	TRUE	TRUE
Down syndrome	Ulcer 1	758	569	congenital anomalies	diseases of the digestive system	Down syndrome	Ulcer	0.130269091602417	1.08128236723379e-14	2.97636563119236e-14	FALSE	Down syndrome _ Ulcer	569 _ 758	dm	TRUE	TRUE
Breast cancer	Coeliac disease 1	174	579	neoplasms	diseases of the digestive system	Breast cancer	Coeliac disease	0.1301548622881	1.57942310687718e-33	6.93842148021152e-33	FALSE	Breast cancer _ Coeliac disease	174 _ 579	dm	FALSE	FALSE
Autism	Coeliac disease 2	299	579	mental disorders	diseases of the digestive system	Autism	Coeliac disease	0.129378472405611	0.000302144149314849	0.000504720861304625	FALSE	Autism _ Coeliac disease	299 _ 579	dm	FALSE	FALSE
Rheumatoid arthritis	Familial dysautonomia 2	714	742	diseases of the musculoskeletal system and connective tissue	congenital anomalies	Rheumatoid arthritis	Familial dysautonomia	0.128720710856309	1.70816710954789e-09	3.84665492786306e-09	TRUE	Familial dysautonomia _ Rheumatoid arthritis	714 _ 742	dm	TRUE	TRUE
Sessile serrated polyps	Systemic lupus erythematosus 2	211	710	neoplasms	diseases of the musculoskeletal system and connective tissue	Sessile serrated polyps	Systemic lupus erythematosus	0.127913156508914	1.52072273006742e-11	3.72188805662041e-11	TRUE	Sessile serrated polyps _ Systemic lupus erythematosus	211 _ 710	dm	TRUE	TRUE
Ulcer	Adenomatous polyps 1	569	211	diseases of the digestive system	neoplasms	Ulcer	Adenomatous polyps	0.127227200881229	4.63283633810175e-22	1.57775167300905e-21	TRUE	Adenomatous polyps _ Ulcer	211 _ 569	dm	TRUE	TRUE
Idiopathic pulmonary fibrosis	Ulcerative colitis 1	516	556	diseases of the respiratory system	diseases of the digestive system	Idiopathic pulmonary fibrosis	Ulcerative colitis	0.126706037851142	5.90918638771732e-38	2.80498489109449e-37	TRUE	Idiopathic pulmonary fibrosis _ Ulcerative colitis	516 _ 556	dm	TRUE	TRUE
Multiple sclerosis	Coeliac disease 2	340	579	diseases of the nervous system and sense organs	diseases of the digestive system	Multiple sclerosis	Coeliac disease	0.126656257311833	3.76056749068557e-05	6.69402750726371e-05	FALSE	Coeliac disease _ Multiple sclerosis	340 _ 579	dm	TRUE	TRUE
Parkinson's disease	Autism 1	332	299	diseases of the nervous system and sense organs	mental disorders	Parkinson's disease	Autism	0.125730731768236	2.39010931576387e-17	7.16334952593171e-17	TRUE	Autism _ Parkinson's disease	299 _ 332	dm	TRUE	TRUE
Liver cancer	Autism 1	155	299	neoplasms	mental disorders	Liver cancer	Autism	0.124943923441187	3.16440224065714e-25	1.17868481404338e-24	FALSE	Autism _ Liver cancer	155 _ 299	dm	FALSE	FALSE
Ulcer	Amyotrophic lateral sclerosis 2	569	335	diseases of the digestive system	diseases of the nervous system and sense organs	Ulcer	Amyotrophic lateral sclerosis	0.124600488769123	3.31435948741331e-18	1.02630166329706e-17	TRUE	Amyotrophic lateral sclerosis _ Ulcer	335 _ 569	dm	TRUE	TRUE
Glioblastoma	Idiopathic pulmonary fibrosis 1	191	516	neoplasms	diseases of the respiratory system	Glioblastoma	Idiopathic pulmonary fibrosis	0.124528090977418	7.22995896934597e-43	3.73568098088942e-42	FALSE	Glioblastoma _ Idiopathic pulmonary fibrosis	191 _ 516	dm	TRUE	TRUE
Myotonic dystrophy	Schizophrenia 2	359	295	diseases of the nervous system and sense organs	mental disorders	Myotonic dystrophy	Schizophrenia	0.123990574537864	2.67181268629976e-06	5.12558615010754e-06	FALSE	Myotonic dystrophy _ Schizophrenia	295 _ 359	dm	TRUE	TRUE
Chronic lymphocytic leukemia	Parkinson's disease 5	204	332	neoplasms	diseases of the nervous system and sense organs	Chronic lymphocytic leukemia	Parkinson's disease	0.123737006944698	9.59155810981899e-19	3.01400032644771e-18	FALSE	Chronic lymphocytic leukemia _ Parkinson's disease	204 _ 332	dm	TRUE	TRUE
Prostate cancer	Coeliac disease 2	185	579	neoplasms	diseases of the digestive system	Prostate cancer	Coeliac disease	0.123719872991158	0.000575346577742255	0.000940060902590409	FALSE	Coeliac disease _ Prostate cancer	185 _ 579	dm	FALSE	FALSE
Multiple sclerosis	Crohn's disease 2	340	555	diseases of the nervous system and sense organs	diseases of the digestive system	Multiple sclerosis	Crohn's disease	0.123662689350178	2.902779570859e-32	1.24630319811227e-31	FALSE	Crohn's disease _ Multiple sclerosis	340 _ 555	dm	FALSE	TRUE
Bipolar disorder	Cardiomyopathy 1	296	425	mental disorders	diseases of the circulatory system	Bipolar disorder	Cardiomyopathy	0.122549303913391	4.58786921663259e-07	9.157895480551e-07	TRUE	Bipolar disorder _ Cardiomyopathy	296 _ 425	dm	TRUE	TRUE
Idiopathic pulmonary fibrosis	Ischemia 1	516	414	diseases of the respiratory system	diseases of the circulatory system	Idiopathic pulmonary fibrosis	Ischemia	0.121217694212736	7.95128051697722e-23	2.76912279921191e-22	TRUE	Idiopathic pulmonary fibrosis _ Ischemia	414 _ 516	dm	TRUE	TRUE
Amyotrophic lateral sclerosis	Friedreich's ataxia 1	335	334	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	Amyotrophic lateral sclerosis	Friedreich's ataxia	0.121098638955183	3.43098167290481e-11	8.28195811225581e-11	TRUE	Amyotrophic lateral sclerosis _ Friedreich's ataxia	334 _ 335	dm	TRUE	TRUE
Borrelia burgdorferi infection	Huntington's disease 2	88	333	infectious and parasitic diseases	diseases of the nervous system and sense organs	Borrelia burgdorferi infection	Huntington's disease	0.120898126583423	5.79924077613176e-24	2.08508604437802e-23	TRUE	Borrelia burgdorferi infection _ Huntington's disease	88 _ 333	dm	TRUE	TRUE
Ulcerative colitis	Friedreich's ataxia 1	556	334	diseases of the digestive system	diseases of the nervous system and sense organs	Ulcerative colitis	Friedreich's ataxia	0.120719679202096	2.5056585000334e-29	1.02032070755079e-28	FALSE	Friedreich's ataxia _ Ulcerative colitis	334 _ 556	dm	FALSE	FALSE
Hyperplastic polyps	Idiopathic pulmonary fibrosis 1	211	516	neoplasms	diseases of the respiratory system	Hyperplastic polyps	Idiopathic pulmonary fibrosis	0.12034882515723	2.67664231864421e-33	1.17250640402061e-32	TRUE	Hyperplastic polyps _ Idiopathic pulmonary fibrosis	211 _ 516	dm	TRUE	TRUE
Smoker	Friedreich's ataxia 1	305	334	mental disorders	diseases of the nervous system and sense organs	Smoker	Friedreich's ataxia	0.120143571011395	1.5416508364094e-12	3.92599855341968e-12	TRUE	Friedreich's ataxia _ Smoker	305 _ 334	dm	TRUE	TRUE
Glioblastoma	Breast cancer 2	191	174	neoplasms	neoplasms	Glioblastoma	Breast cancer	0.120076610051537	9.46692944168433e-42	4.80089077244412e-41	FALSE	Breast cancer _ Glioblastoma	174 _ 191	dm	FALSE	TRUE
Familial dysautonomia	Breast cancer 2	742	174	congenital anomalies	neoplasms	Familial dysautonomia	Breast cancer	0.119699324630663	7.65079378905416e-34	3.38150261548508e-33	FALSE	Breast cancer _ Familial dysautonomia	174 _ 742	dm	FALSE	FALSE
Multiple sclerosis	Asthma 4	340	493	diseases of the nervous system and sense organs	diseases of the respiratory system	Multiple sclerosis	Asthma	0.11959698408096	6.49974658622998e-06	1.2162217598235e-05	FALSE	Asthma _ Multiple sclerosis	340 _ 493	dm	FALSE	TRUE
Muscular dystrophy	Schizophrenia 1	359	295	diseases of the nervous system and sense organs	mental disorders	Muscular dystrophy	Schizophrenia	0.119282905330864	7.09564116869109e-05	0.000124118301499484	FALSE	Muscular dystrophy _ Schizophrenia	295 _ 359	dm	TRUE	TRUE
Lung cancer	Glioblastoma 1	162	191	neoplasms	neoplasms	Lung cancer	Glioblastoma	0.11900540851908	3.17392733512226e-39	1.53983603442442e-38	TRUE	Glioblastoma _ Lung cancer	162 _ 191	dm	TRUE	TRUE
Sessile serrated polyps	Coeliac disease 1	211	579	neoplasms	diseases of the digestive system	Sessile serrated polyps	Coeliac disease	0.118744284883066	2.73690846218189e-10	6.38387397030043e-10	TRUE	Coeliac disease _ Sessile serrated polyps	211 _ 579	dm	TRUE	TRUE
Facioscapulohumeral muscular dystrophy	Asthma 1	359	493	diseases of the nervous system and sense organs	diseases of the respiratory system	Facioscapulohumeral muscular dystrophy	Asthma	0.118205778265303	2.82795665856081e-06	5.41332869000032e-06	TRUE	Asthma _ Facioscapulohumeral muscular dystrophy	359 _ 493	dm	TRUE	TRUE
Crohn's disease	Human immunodeficiency virus infection 1	555	42	diseases of the digestive system	infectious and parasitic diseases	Crohn's disease	Human immunodeficiency virus infection	0.117802849031612	2.02719553521901e-28	8.09695026032027e-28	FALSE	Crohn's disease _ Human immunodeficiency virus infection	42 _ 555	dm	FALSE	FALSE
Lung cancer	Systemic lupus erythematosus 1	162	710	neoplasms	diseases of the musculoskeletal system and connective tissue	Lung cancer	Systemic lupus erythematosus	0.117726133215579	3.46274634096665e-24	1.25158771795854e-23	FALSE	Lung cancer _ Systemic lupus erythematosus	162 _ 710	dm	FALSE	FALSE
Prostate cancer	Kaposi's sarcoma 2	185	176	neoplasms	neoplasms	Prostate cancer	Kaposi's sarcoma	0.117003790642573	4.12901575712056e-13	1.07392770473419e-12	FALSE	Kaposi's sarcoma _ Prostate cancer	176 _ 185	dm	TRUE	TRUE
Multiple sclerosis	Papillary thyroid cancer 1	340	193	diseases of the nervous system and sense organs	neoplasms	Multiple sclerosis	Papillary thyroid cancer	0.116569775898042	4.70872885757975e-10	1.08699629062345e-09	FALSE	Multiple sclerosis _ Papillary thyroid cancer	193 _ 340	dm	FALSE	FALSE
Chronic obstructive pulmonary disease	Huntington's disease 2	496	333	diseases of the respiratory system	diseases of the nervous system and sense organs	Chronic obstructive pulmonary disease	Huntington's disease	0.116366023820022	2.78532046366033e-30	1.15481580179629e-29	TRUE	Chronic obstructive pulmonary disease _ Huntington's disease	333 _ 496	dm	TRUE	TRUE
Kaposi's sarcoma	Colorectal cancer 4	176	153	neoplasms	neoplasms	Kaposi's sarcoma	Colorectal cancer	0.115707317689419	8.06868719096558e-09	1.76473879293881e-08	FALSE	Colorectal cancer _ Kaposi's sarcoma	153 _ 176	dm	TRUE	TRUE
Adenomatous polyps	Schizophrenia 2	211	295	neoplasms	mental disorders	Adenomatous polyps	Schizophrenia	0.11545615819889	8.11385295604889e-08	1.68600608489558e-07	FALSE	Adenomatous polyps _ Schizophrenia	211 _ 295	dm	FALSE	FALSE
Human immunodeficiency virus infection	Coeliac disease 2	42	579	infectious and parasitic diseases	diseases of the digestive system	Human immunodeficiency virus infection	Coeliac disease	0.114381369995281	0.00146611677917812	0.00231217223676877	TRUE	Coeliac disease _ Human immunodeficiency virus infection	42 _ 579	dm	TRUE	TRUE
Coeliac disease	Papillary thyroid cancer 1	579	193	diseases of the digestive system	neoplasms	Coeliac disease	Papillary thyroid cancer	0.114081601144652	5.50788988490608e-09	1.21218845099648e-08	FALSE	Coeliac disease _ Papillary thyroid cancer	193 _ 579	dm	FALSE	FALSE
Systemic lupus erythematosus	Kaposi's sarcoma 2	710	176	diseases of the musculoskeletal system and connective tissue	neoplasms	Systemic lupus erythematosus	Kaposi's sarcoma	0.113809029235689	1.7642172802802e-12	4.47982446062493e-12	TRUE	Kaposi's sarcoma _ Systemic lupus erythematosus	176 _ 710	dm	TRUE	TRUE
Smoker	Facioscapulohumeral muscular dystrophy 5	305	359	mental disorders	diseases of the nervous system and sense organs	Smoker	Facioscapulohumeral muscular dystrophy	0.113314683344884	0.00462901982153375	0.00700666824301459	TRUE	Facioscapulohumeral muscular dystrophy _ Smoker	305 _ 359	dm	TRUE	TRUE
Borrelia burgdorferi infection	Bipolar disorder 4	88	296	infectious and parasitic diseases	mental disorders	Borrelia burgdorferi infection	Bipolar disorder	0.113017793051047	9.60016315674063e-15	2.64729818143566e-14	FALSE	Bipolar disorder _ Borrelia burgdorferi infection	88 _ 296	dm	TRUE	TRUE
Ischemia	Crohn's disease 2	414	555	diseases of the circulatory system	diseases of the digestive system	Ischemia	Crohn's disease	0.112766173427465	1.04171436376515e-26	3.98504271206805e-26	FALSE	Crohn's disease _ Ischemia	414 _ 555	dm	FALSE	FALSE
Colorectal cancer	Facioscapulohumeral muscular dystrophy 1	153	359	neoplasms	diseases of the nervous system and sense organs	Colorectal cancer	Facioscapulohumeral muscular dystrophy	0.112344074111256	0.00114688070768493	0.00182522952936214	FALSE	Colorectal cancer _ Facioscapulohumeral muscular dystrophy	153 _ 359	dm	FALSE	TRUE
Adenomatous polyps	Crohn's disease 2	211	555	neoplasms	diseases of the digestive system	Adenomatous polyps	Crohn's disease	0.112217043967002	1.48652941847302e-27	5.80566562357344e-27	TRUE	Adenomatous polyps _ Crohn's disease	211 _ 555	dm	TRUE	TRUE
Kaposi's sarcoma	Idiopathic pulmonary fibrosis 1	176	516	neoplasms	diseases of the respiratory system	Kaposi's sarcoma	Idiopathic pulmonary fibrosis	0.112044743800146	3.27928048635457e-25	1.22110571435658e-24	FALSE	Idiopathic pulmonary fibrosis _ Kaposi's sarcoma	176 _ 516	dm	FALSE	FALSE
Eosinophilic esophagitis	Ulcerative colitis 1	530	556	diseases of the digestive system	diseases of the digestive system	Eosinophilic esophagitis	Ulcerative colitis	0.11187127268802	2.70300771907927e-27	1.04802168975821e-26	TRUE	Eosinophilic esophagitis _ Ulcerative colitis	530 _ 556	dm	TRUE	TRUE
Myotonic dystrophy	Familial dysautonomia 1	359	742	diseases of the nervous system and sense organs	congenital anomalies	Myotonic dystrophy	Familial dysautonomia	0.11183165793399	1.65840781280725e-10	3.8992684554609e-10	TRUE	Familial dysautonomia _ Myotonic dystrophy	359 _ 742	dm	TRUE	TRUE
Glioblastoma	Ischemia 1	191	414	neoplasms	diseases of the circulatory system	Glioblastoma	Ischemia	0.111383938915648	1.78013944982691e-25	6.65890001304825e-25	FALSE	Glioblastoma _ Ischemia	191 _ 414	dm	FALSE	FALSE
Eosinophilic esophagitis	Colorectal cancer 4	530	153	diseases of the digestive system	neoplasms	Eosinophilic esophagitis	Colorectal cancer	0.110239094397215	1.02004883200534e-16	2.99593741360079e-16	FALSE	Colorectal cancer _ Eosinophilic esophagitis	153 _ 530	dm	FALSE	FALSE
Lymphocytic colitis	Smoker 2	558	305	diseases of the digestive system	mental disorders	Lymphocytic colitis	Smoker	0.110204516711535	0.000474503554044016	0.000780886409981855	TRUE	Lymphocytic colitis _ Smoker	305 _ 558	dm	TRUE	TRUE
Glioblastoma	Crohn's disease 2	191	555	neoplasms	diseases of the digestive system	Glioblastoma	Crohn's disease	0.109090963771991	6.47342304295362e-35	2.91872712456452e-34	FALSE	Crohn's disease _ Glioblastoma	191 _ 555	dm	FALSE	FALSE
Facioscapulohumeral muscular dystrophy	Multiple sclerosis 1	359	340	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	Facioscapulohumeral muscular dystrophy	Multiple sclerosis	0.109054883128708	6.95616813800731e-05	0.000121817001882249	TRUE	Facioscapulohumeral muscular dystrophy _ Multiple sclerosis	340 _ 359	dm	TRUE	TRUE
Rheumatoid arthritis	Kaposi's sarcoma 1	714	176	diseases of the musculoskeletal system and connective tissue	neoplasms	Rheumatoid arthritis	Kaposi's sarcoma	0.108974919509848	2.99538353495647e-07	6.03782267772767e-07	TRUE	Kaposi's sarcoma _ Rheumatoid arthritis	176 _ 714	dm	TRUE	TRUE
Crohn's disease	Friedreich's ataxia 1	555	334	diseases of the digestive system	diseases of the nervous system and sense organs	Crohn's disease	Friedreich's ataxia	0.108399642819408	3.62015258482195e-27	1.39877790275523e-26	FALSE	Crohn's disease _ Friedreich's ataxia	334 _ 555	dm	FALSE	FALSE
Bipolar disorder	Eosinophilic esophagitis 2	296	530	mental disorders	diseases of the digestive system	Bipolar disorder	Eosinophilic esophagitis	0.107409498755957	4.65880393740301e-17	1.38282281688989e-16	TRUE	Bipolar disorder _ Eosinophilic esophagitis	296 _ 530	dm	TRUE	TRUE
Ulcerative colitis	Papillary thyroid cancer 1	556	193	diseases of the digestive system	neoplasms	Ulcerative colitis	Papillary thyroid cancer	0.107397238921273	3.74091445496074e-23	1.31470996451373e-22	FALSE	Papillary thyroid cancer _ Ulcerative colitis	193 _ 556	dm	FALSE	FALSE
Glioblastoma	Asthma 1	191	493	neoplasms	diseases of the respiratory system	Glioblastoma	Asthma	0.107110492846414	1.62044869603041e-25	6.06908042790595e-25	FALSE	Asthma _ Glioblastoma	191 _ 493	dm	FALSE	FALSE
Lung cancer	Friedreich's ataxia 2	162	334	neoplasms	diseases of the nervous system and sense organs	Lung cancer	Friedreich's ataxia	0.107102707389562	8.91745511311843e-26	3.35918079765727e-25	TRUE	Friedreich's ataxia _ Lung cancer	162 _ 334	dm	TRUE	TRUE
Crohn's disease	Eosinophilic esophagitis 2	555	530	diseases of the digestive system	diseases of the digestive system	Crohn's disease	Eosinophilic esophagitis	0.10674475032142	6.01390188722606e-30	2.48171669838696e-29	TRUE	Crohn's disease _ Eosinophilic esophagitis	530 _ 555	dm	TRUE	TRUE
Liver cancer	Schizophrenia 2	155	295	neoplasms	mental disorders	Liver cancer	Schizophrenia	0.106123045377644	1.49503071929382e-20	4.91480875373934e-20	FALSE	Liver cancer _ Schizophrenia	155 _ 295	dm	FALSE	FALSE
Glioblastoma	Facioscapulohumeral muscular dystrophy 2	191	359	neoplasms	diseases of the nervous system and sense organs	Glioblastoma	Facioscapulohumeral muscular dystrophy	0.105919857064267	3.94257962042335e-23	1.38479314982534e-22	TRUE	Facioscapulohumeral muscular dystrophy _ Glioblastoma	191 _ 359	dm	TRUE	TRUE
Idiopathic pulmonary fibrosis	Myotonic dystrophy 1	516	359	diseases of the respiratory system	diseases of the nervous system and sense organs	Idiopathic pulmonary fibrosis	Myotonic dystrophy	0.105838781166188	1.05396523827097e-17	3.2032429817473e-17	TRUE	Idiopathic pulmonary fibrosis _ Myotonic dystrophy	359 _ 516	dm	TRUE	TRUE
Colorectal cancer	Post-traumatic stress disorder 2	153	309	neoplasms	mental disorders	Colorectal cancer	Post-traumatic stress disorder	0.105252406238599	0.00208349777837758	0.00325413673891816	FALSE	Colorectal cancer _ Post-traumatic stress disorder	153 _ 309	dm	FALSE	FALSE
Chronic lymphocytic leukemia	Breast cancer 1	204	174	neoplasms	neoplasms	Chronic lymphocytic leukemia	Breast cancer	0.104927138471217	2.0470512061966e-26	7.79461414464598e-26	FALSE	Breast cancer _ Chronic lymphocytic leukemia	174 _ 204	dm	FALSE	FALSE
Breast cancer	Schizophrenia 2	174	295	neoplasms	mental disorders	Breast cancer	Schizophrenia	0.104529739192012	1.23089771511463e-23	4.38847990008164e-23	FALSE	Breast cancer _ Schizophrenia	174 _ 295	dm	FALSE	TRUE
Hyperplastic polyps	Familial dysautonomia 1	211	742	neoplasms	congenital anomalies	Hyperplastic polyps	Familial dysautonomia	0.104452336365197	9.5429473182554e-18	2.90821437571178e-17	TRUE	Familial dysautonomia _ Hyperplastic polyps	211 _ 742	dm	TRUE	TRUE
Prostate cancer	Breast cancer 2	185	174	neoplasms	neoplasms	Prostate cancer	Breast cancer	0.104376140659258	5.12498311552854e-25	1.89863284261896e-24	FALSE	Breast cancer _ Prostate cancer	174 _ 185	dm	FALSE	TRUE
Huntington's disease	Muscular dystrophy 3	333	359	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	Huntington's disease	Muscular dystrophy	0.104352620485098	1.51663802741076e-08	3.27236770391412e-08	TRUE	Huntington's disease _ Muscular dystrophy	333 _ 359	dm	TRUE	TRUE
Lung cancer	Adenomatous polyps 2	162	211	neoplasms	neoplasms	Lung cancer	Adenomatous polyps	0.103444997589198	1.84756737785191e-23	6.55293261168438e-23	FALSE	Adenomatous polyps _ Lung cancer	162 _ 211	dm	FALSE	FALSE
Papillary thyroid cancer	Lymphocytic colitis 2	193	558	neoplasms	diseases of the digestive system	Papillary thyroid cancer	Lymphocytic colitis	0.102286268287714	6.54021733302531e-05	0.000114674977719595	FALSE	Lymphocytic colitis _ Papillary thyroid cancer	193 _ 558	dm	FALSE	FALSE
Kaposi's sarcoma	Asthma 2	176	493	neoplasms	diseases of the respiratory system	Kaposi's sarcoma	Asthma	0.102173217187973	1.92066745168192e-06	3.71292869896702e-06	TRUE	Asthma _ Kaposi's sarcoma	176 _ 493	dm	TRUE	TRUE
Asthma	Coeliac disease 1	493	579	diseases of the respiratory system	diseases of the digestive system	Asthma	Coeliac disease	0.101160975041523	0.000251910693596013	0.000423564827152019	TRUE	Asthma _ Coeliac disease	493 _ 579	dm	TRUE	TRUE
Myotonic dystrophy	Chronic lymphocytic leukemia 2	359	204	diseases of the nervous system and sense organs	neoplasms	Myotonic dystrophy	Chronic lymphocytic leukemia	0.101106071210253	0.000321390214446407	0.000535346134083955	TRUE	Chronic lymphocytic leukemia _ Myotonic dystrophy	204 _ 359	dm	TRUE	TRUE
Glioblastoma	Colorectal cancer 4	191	153	neoplasms	neoplasms	Glioblastoma	Colorectal cancer	0.100954888598167	4.47321518504121e-22	1.52465591171382e-21	FALSE	Colorectal cancer _ Glioblastoma	153 _ 191	dm	FALSE	FALSE
Crohn's disease	Bipolar disorder 3	555	296	diseases of the digestive system	mental disorders	Crohn's disease	Bipolar disorder	0.10042297328487	1.00900595029286e-20	3.33394187116616e-20	TRUE	Bipolar disorder _ Crohn's disease	296 _ 555	dm	TRUE	TRUE
Glioblastoma	Eosinophilic esophagitis	191	530	neoplasms	diseases of the digestive system	Glioblastoma	Eosinophilic esophagitis	0.100394822173603	1.58469238373984e-25	5.93861903952157e-25	FALSE	Eosinophilic esophagitis _ Glioblastoma	191 _ 530	dd	FALSE	FALSE
Alagille syndrome	Sessile serrated polyps	759	211	congenital anomalies	neoplasms	Alagille syndrome	Sessile serrated polyps	0.100344297276063	1.36319401047505e-07	2.80190619406502e-07	TRUE	Alagille syndrome _ Sessile serrated polyps	211 _ 759	dd	TRUE	TRUE
Papillary thyroid cancer	Idiopathic pulmonary fibrosis 1	193	516	neoplasms	diseases of the respiratory system	Papillary thyroid cancer	Idiopathic pulmonary fibrosis	0.0999673596738411	1.93239716250379e-20	6.33908608461295e-20	FALSE	Idiopathic pulmonary fibrosis _ Papillary thyroid cancer	193 _ 516	dm	FALSE	TRUE
Hyperplastic polyps	Schizophrenia 2	211	295	neoplasms	mental disorders	Hyperplastic polyps	Schizophrenia	0.0997293352996562	2.59626601340305e-13	6.81022247723569e-13	FALSE	Hyperplastic polyps _ Schizophrenia	211 _ 295	dm	FALSE	FALSE
Parkinson's disease	Systemic lupus erythematosus 2	332	710	diseases of the nervous system and sense organs	diseases of the musculoskeletal system and connective tissue	Parkinson's disease	Systemic lupus erythematosus	0.0996530880613095	1.89497711226681e-11	4.62315865892307e-11	FALSE	Parkinson's disease _ Systemic lupus erythematosus	332 _ 710	dm	FALSE	TRUE
Crohn's disease	Schizophrenia 1	555	295	diseases of the digestive system	mental disorders	Crohn's disease	Schizophrenia	0.0993589360160997	1.85285752103513e-21	6.21724297033797e-21	FALSE	Crohn's disease _ Schizophrenia	295 _ 555	dm	FALSE	TRUE
Eosinophilic esophagitis	Amyotrophic lateral sclerosis 1	530	335	diseases of the digestive system	diseases of the nervous system and sense organs	Eosinophilic esophagitis	Amyotrophic lateral sclerosis	0.0991678701772684	5.898300324231e-13	1.52573001667109e-12	TRUE	Amyotrophic lateral sclerosis _ Eosinophilic esophagitis	335 _ 530	dm	TRUE	TRUE
Sessile serrated polyps	Liver cancer 2	211	155	neoplasms	neoplasms	Sessile serrated polyps	Liver cancer	0.0990323652883934	3.12139674353593e-19	9.95581695672593e-19	TRUE	Liver cancer _ Sessile serrated polyps	155 _ 211	dm	TRUE	TRUE
Lymphocytic colitis	Familial dysautonomia 1	558	742	diseases of the digestive system	congenital anomalies	Lymphocytic colitis	Familial dysautonomia	0.0989719454799182	1.59171900401668e-08	3.43196126229257e-08	TRUE	Familial dysautonomia _ Lymphocytic colitis	558 _ 742	dm	TRUE	TRUE
Down syndrome	Chronic lymphocytic leukemia 1	758	204	congenital anomalies	neoplasms	Down syndrome	Chronic lymphocytic leukemia	0.0981435022027838	0.00052737856071669	0.000864898031008946	FALSE	Chronic lymphocytic leukemia _ Down syndrome	204 _ 758	dm	TRUE	TRUE
Crohn's disease	Asthma 2	555	493	diseases of the digestive system	diseases of the respiratory system	Crohn's disease	Asthma	0.0980775092843628	1.75492591964491e-20	5.76414093317122e-20	TRUE	Asthma _ Crohn's disease	493 _ 555	dm	TRUE	TRUE
Papillary thyroid cancer	Keratoconus 1	193	371	neoplasms	diseases of the nervous system and sense organs	Papillary thyroid cancer	Keratoconus	0.0977389309312883	0.000139519556740776	0.00023896021967921	FALSE	Keratoconus _ Papillary thyroid cancer	193 _ 371	dm	FALSE	FALSE
Familial dysautonomia	Friedreich's ataxia 2	742	334	congenital anomalies	diseases of the nervous system and sense organs	Familial dysautonomia	Friedreich's ataxia	0.097725064185243	9.51934624831064e-13	2.44341127498834e-12	TRUE	Familial dysautonomia _ Friedreich's ataxia	334 _ 742	dm	TRUE	TRUE
Eosinophilic esophagitis	Keratoconus 2	530	371	diseases of the digestive system	diseases of the nervous system and sense organs	Eosinophilic esophagitis	Keratoconus	0.0976436064829272	3.80785463472921e-12	9.55298439726973e-12	FALSE	Eosinophilic esophagitis _ Keratoconus	371 _ 530	dm	FALSE	FALSE
Muscular dystrophy	Rheumatoid arthritis 2	359	714	diseases of the nervous system and sense organs	diseases of the musculoskeletal system and connective tissue	Muscular dystrophy	Rheumatoid arthritis	0.0974521259250723	1.13697497799648e-08	2.4704988144224e-08	TRUE	Muscular dystrophy _ Rheumatoid arthritis	359 _ 714	dm	TRUE	TRUE
