Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Dis1_catcolor	Dis2_catcolor	Corr_Dis1	Corr_Dis2	Distance	pvalue	adj_pvalue	in_epidem	in_epidem_dd_dm	is_metric	is_ultrametric	id	icd_pairs	in_phi	in_epidem_total
Facioscapulohumeral muscular dystrophy 5	Adenomatous polyps 1	359	211	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	Facioscapulohumeral muscular dystrophy	Adenomatous polyps	0.165824137479881	3.9017808386012e-10	9.03763376643278e-10	TRUE	FALSE	FALSE	FALSE	34	211 _ 359	TRUE	TRUE
Smoker 	Adenomatous polyps 2	305	211	mental disorders	neoplasms	#805462	#FFB6AD	Smoker	Adenomatous polyps	-0.115545748278984	4.10756170613802e-14	1.10788143411886e-13	FALSE	FALSE	TRUE	FALSE	35	211 _ 305	FALSE	FALSE
Ulcerative colitis 2	Adenomatous polyps 2	556	211	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	Ulcerative colitis	Adenomatous polyps	-0.134838205408973	1.2238905332942e-43	6.39350449072011e-43	FALSE	FALSE	TRUE	FALSE	36	211 _ 556	FALSE	FALSE
Autism 2	Adenomatous polyps 2	299	211	mental disorders	neoplasms	#805462	#FFB6AD	Autism	Adenomatous polyps	0.109263037419381	1.15079344852286e-11	2.82830680345264e-11	FALSE	FALSE	FALSE	FALSE	37	211 _ 299	TRUE	TRUE
Borrelia burgdorferi infection 	Adenomatous polyps 	88	211	infectious and parasitic diseases	neoplasms	#A1CE5E	#FFB6AD	Borrelia burgdorferi infection	Adenomatous polyps	-0.0387359451746554	0.00515116283740598	0.00775886816228501	FALSE	FALSE	TRUE	FALSE	38	88 _ 211	FALSE	FALSE
Amyotrophic lateral sclerosis 	Adenomatous polyps 1	335	211	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	Amyotrophic lateral sclerosis	Adenomatous polyps	-0.208594267971645	2.5707959149845e-15	7.2332261491044e-15	FALSE	FALSE	TRUE	FALSE	39	211 _ 335	FALSE	FALSE
Cardiomyopathy 	Adenomatous polyps 2	425	211	diseases of the circulatory system	neoplasms	#DD3232	#FFB6AD	Cardiomyopathy	Adenomatous polyps	-0.574854576651589	0	0	FALSE	FALSE	TRUE	TRUE	40	211 _ 425	FALSE	FALSE
Smoker 	Adenomatous polyps 1	305	211	mental disorders	neoplasms	#805462	#FFB6AD	Smoker	Adenomatous polyps	-0.0920229730492986	4.26603321982392e-05	7.56318324723532e-05	FALSE	FALSE	TRUE	FALSE	41	211 _ 305	FALSE	FALSE
Asthma 	Adenomatous polyps 2	493	211	diseases of the respiratory system	neoplasms	#00619C	#FFB6AD	Asthma	Adenomatous polyps	0.0650641647591673	5.92030352463806e-06	1.11134256044638e-05	TRUE	TRUE	FALSE	FALSE	42	211 _ 493	TRUE	TRUE
Papillary thyroid cancer 	Adenomatous polyps 2	193	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Papillary thyroid cancer	Adenomatous polyps	0.0469229154982859	0.000884434636539487	0.00141947437822715	FALSE	FALSE	FALSE	FALSE	43	193 _ 211	FALSE	FALSE
Bipolar disorder 1	Adenomatous polyps 1	296	211	mental disorders	neoplasms	#805462	#FFB6AD	Bipolar disorder	Adenomatous polyps	0.0984304313058711	0.000217453443205227	0.000367736341763041	TRUE	FALSE	FALSE	FALSE	44	211 _ 296	TRUE	TRUE
Facioscapulohumeral muscular dystrophy 	Adenomatous polyps 2	359	211	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	Facioscapulohumeral muscular dystrophy	Adenomatous polyps	0.334098214362699	4.36587699419306e-100	4.64411682335666e-99	TRUE	TRUE	FALSE	FALSE	45	211 _ 359	TRUE	TRUE
Facioscapulohumeral muscular dystrophy 1	Adenomatous polyps 2	359	211	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	Facioscapulohumeral muscular dystrophy	Adenomatous polyps	0.284409465740671	7.14576470324091e-72	5.41337820507513e-71	TRUE	FALSE	FALSE	FALSE	46	211 _ 359	TRUE	TRUE
Kaposi's sarcoma 1	Adenomatous polyps 2	176	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Kaposi's sarcoma	Adenomatous polyps	0.0301310634814121	0.0246179055933679	0.0344555574479157	TRUE	FALSE	FALSE	FALSE	47	176 _ 211	TRUE	TRUE
Lymphocytic colitis 	Adenomatous polyps 1	558	211	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	Lymphocytic colitis	Adenomatous polyps	0.235289596755002	3.76285787792327e-19	1.1964605921595e-18	TRUE	TRUE	FALSE	FALSE	48	211 _ 558	TRUE	TRUE
Friedreich's ataxia 	Adenomatous polyps 2	334	211	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	Friedreich's ataxia	Adenomatous polyps	-0.327304493495712	5.90167032484441e-140	8.80106235610575e-139	FALSE	FALSE	TRUE	FALSE	49	211 _ 334	FALSE	FALSE
Down syndrome 2	Adenomatous polyps 1	758	211	congenital anomalies	neoplasms	#AEC6CC	#FFB6AD	Down syndrome	Adenomatous polyps	0.0570517466306993	0.029212991544118	0.0404912377450709	FALSE	FALSE	TRUE	FALSE	50	211 _ 758	FALSE	FALSE
Lung cancer 	Adenomatous polyps 1	162	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Lung cancer	Adenomatous polyps	0.0535948515214154	1.38083788145008e-06	2.68877031674077e-06	FALSE	FALSE	FALSE	FALSE	51	162 _ 211	FALSE	FALSE
Keratoconus 	Adenomatous polyps 2	371	211	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	Keratoconus	Adenomatous polyps	-0.327911607448473	2.84799014879735e-96	2.88025801747831e-95	FALSE	FALSE	TRUE	FALSE	52	211 _ 371	FALSE	FALSE
Bipolar disorder 4	Adenomatous polyps 1	296	211	mental disorders	neoplasms	#805462	#FFB6AD	Bipolar disorder	Adenomatous polyps	0.150371034744833	1.44762100398967e-08	3.12893411601065e-08	TRUE	FALSE	FALSE	FALSE	53	211 _ 296	TRUE	TRUE
Glioblastoma 	Adenomatous polyps 2	191	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Glioblastoma	Adenomatous polyps	0.13246737872602	1.24224966788321e-41	6.27904448460625e-41	FALSE	FALSE	TRUE	FALSE	54	191 _ 211	FALSE	TRUE
Asthma 1	Adenomatous polyps 2	493	211	diseases of the respiratory system	neoplasms	#00619C	#FFB6AD	Asthma	Adenomatous polyps	0.206617367371935	3.85155348034132e-50	2.19747270823735e-49	TRUE	FALSE	TRUE	FALSE	55	211 _ 493	TRUE	TRUE
Borrelia burgdorferi infection 2	Adenomatous polyps 1	88	211	infectious and parasitic diseases	neoplasms	#A1CE5E	#FFB6AD	Borrelia burgdorferi infection	Adenomatous polyps	-0.0505796741316468	2.33879728437553e-05	4.22114358226195e-05	FALSE	FALSE	TRUE	FALSE	56	88 _ 211	FALSE	FALSE
Idiopathic pulmonary fibrosis 1	Adenomatous polyps 2	516	211	diseases of the respiratory system	neoplasms	#00619C	#FFB6AD	Idiopathic pulmonary fibrosis	Adenomatous polyps	0.0962848099280775	1.25772581088709e-21	4.24108035546322e-21	TRUE	FALSE	FALSE	FALSE	57	211 _ 516	TRUE	TRUE
Idiopathic pulmonary fibrosis 	Adenomatous polyps 1	516	211	diseases of the respiratory system	neoplasms	#00619C	#FFB6AD	Idiopathic pulmonary fibrosis	Adenomatous polyps	0.137306470202706	3.29078645259517e-32	1.409944609498e-31	TRUE	TRUE	FALSE	FALSE	58	211 _ 516	TRUE	TRUE
Facioscapulohumeral muscular dystrophy 5	Adenomatous polyps 2	359	211	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	Facioscapulohumeral muscular dystrophy	Adenomatous polyps	0.410711078686183	4.09338438057292e-155	6.85085717389909e-154	TRUE	FALSE	FALSE	FALSE	59	211 _ 359	TRUE	TRUE
Autism 2	Adenomatous polyps 1	299	211	mental disorders	neoplasms	#805462	#FFB6AD	Autism	Adenomatous polyps	0.0777679708733592	0.00322122084730037	0.00494750603454438	FALSE	FALSE	FALSE	FALSE	60	211 _ 299	TRUE	TRUE
Familial dysautonomia 	Adenomatous polyps 1	742	211	congenital anomalies	neoplasms	#AEC6CC	#FFB6AD	Familial dysautonomia	Adenomatous polyps	0.236512919767736	4.69570688628057e-32	2.0076958495385e-31	TRUE	TRUE	FALSE	FALSE	61	211 _ 742	TRUE	TRUE
Colorectal cancer 	Adenomatous polyps 1	153	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Colorectal cancer	Adenomatous polyps	0.333241417657566	2.80159977257444e-56	1.72378151841018e-55	TRUE	TRUE	FALSE	FALSE	62	153 _ 211	TRUE	TRUE
Colorectal cancer 	Adenomatous polyps 2	153	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Colorectal cancer	Adenomatous polyps	0.163670145513615	1.35897169222443e-27	5.30917009350476e-27	TRUE	TRUE	FALSE	FALSE	63	153 _ 211	TRUE	TRUE
Lymphocytic colitis 3	Adenomatous polyps 1	558	211	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	Lymphocytic colitis	Adenomatous polyps	0.273336631094548	1.57335427909051e-25	5.89792392265273e-25	TRUE	FALSE	FALSE	FALSE	64	211 _ 558	TRUE	TRUE
Asthma 5	Adenomatous polyps 2	493	211	diseases of the respiratory system	neoplasms	#00619C	#FFB6AD	Asthma	Adenomatous polyps	0.143466936380635	1.28722717755428e-29	5.28183356865879e-29	TRUE	FALSE	FALSE	FALSE	65	211 _ 493	TRUE	TRUE
Kaposi's sarcoma 2	Adenomatous polyps 2	176	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Kaposi's sarcoma	Adenomatous polyps	0.150310244590096	1.19453791601556e-35	5.43364772875909e-35	TRUE	FALSE	TRUE	FALSE	66	176 _ 211	TRUE	TRUE
Sessile serrated polyps 	Adenomatous polyps 1	211	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Sessile serrated polyps	Adenomatous polyps	0.130555625940237	3.87292936300504e-16	1.11646955051477e-15	FALSE	FALSE	FALSE	FALSE	67	211 _ 211	FALSE	FALSE
Kaposi's sarcoma 	Adenomatous polyps 2	176	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Kaposi's sarcoma	Adenomatous polyps	0.106634248121835	2.5195884093766e-14	6.84674388411669e-14	TRUE	TRUE	FALSE	FALSE	68	176 _ 211	TRUE	TRUE
Chronic obstructive pulmonary disease 	Adenomatous polyps 1	496	211	diseases of the respiratory system	neoplasms	#00619C	#FFB6AD	Chronic obstructive pulmonary disease	Adenomatous polyps	-0.272188256775839	9.0648570305743e-145	1.41701661043927e-143	FALSE	FALSE	TRUE	FALSE	69	211 _ 496	FALSE	FALSE
Crohn's disease 	Adenomatous polyps 1	555	211	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	Crohn's disease	Adenomatous polyps	0.106187338715029	1.76081490597915e-24	6.40570526044041e-24	TRUE	TRUE	FALSE	FALSE	70	211 _ 555	TRUE	TRUE
Sessile serrated polyps 	Adenomatous polyps 2	211	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Sessile serrated polyps	Adenomatous polyps	0.080414762514475	6.59489226646166e-10	1.51446463345031e-09	FALSE	FALSE	FALSE	FALSE	71	211 _ 211	FALSE	FALSE
Coeliac disease 1	Adenomatous polyps 2	579	211	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	Coeliac disease	Adenomatous polyps	0.219382130382734	2.00880532074973e-43	1.04627754507379e-42	TRUE	FALSE	FALSE	FALSE	72	211 _ 579	TRUE	TRUE
Keratoconus 	Adenomatous polyps 1	371	211	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	Keratoconus	Adenomatous polyps	-0.270871389432388	4.3926967433547e-25	1.63127037939835e-24	FALSE	FALSE	TRUE	FALSE	73	211 _ 371	FALSE	FALSE
